recode_id,coding_id,original_syn,original_sem,original_int
R001,F561,1,1,1
R002,F452,1,1,1
R003,F473,0,0,0
R004,F515,0,0,0
R005,F216,1,1,1
R006,F378,1,1,1
R007,F491,1,1,1
R008,F229,1,1,1
R009,F265,1,1,1
R010,F469,1,1,1
R011,F012,1,1,1
R012,F295,1,1,1
R013,F409,1,1,1
R014,F349,1,1,1
R015,F114,1,1,1
R016,F322,1,1,1
R017,F407,1,1,1
R018,F386,1,1,1
R019,F408,1,1,1
R020,F503,1,1,1
R021,F003,1,1,1
R022,F615,1,1,1
R023,F600,1,1,1
R024,F145,1,1,1
R025,F461,0,0,0
R026,F106,1,1,1
R027,F328,1,1,1
R028,F122,1,1,1
R029,F590,1,1,1
R030,F357,1,1,1
R031,F230,0,0,0
R032,F601,1,1,1
R033,F436,0,0,0
R034,F592,1,1,1
R035,F538,0,0,0
R036,F092,1,1,1
R037,F531,1,1,1
R038,F101,1,1,1
R039,F258,1,1,1
R040,F300,1,1,1
R041,F083,1,1,1
R042,F551,0,0,0
R043,F568,0,1,0
R044,F526,1,1,1
R045,F433,1,1,1
R046,F026,0,1,1
R047,F570,1,1,1
R048,F246,1,1,1
R049,F120,1,1,1
R050,F587,0,0,0
R051,F079,1,1,1
R052,F366,1,1,1
R053,F317,1,1,1
R054,F578,1,1,1
R055,F616,1,1,1
R056,F373,0,0,0
R057,F571,0,0,0
R058,F093,0,0,0
R059,F525,1,1,1
R060,F519,1,1,1
R061,F431,1,1,1
R062,F511,0,0,0
