item,tag,US,CA,GB,IE,AU,NZ,IN,LK,PK,BD,SG,MY,PH,HK,ZA,NG,GH,KE,TZ,JM
yes,UH,114048,29532,99946,23615,42876,19470,21843,7585,10697,6889,12043,11490,11124,6661,9879,9707,6287,6977,4913,8146
no,UH,83907,19295,66727,16386,26848,12364,12989,5187,6337,4531,6962,6941,6963,4844,6678,7843,4447,4381,3144,5787
oh,UH,68411,14409,50731,10659,22721,8604,6461,2808,3008,1768,7376,5350,6218,2740,3645,3990,2460,2305,1829,3148
yeah,UH,40142,7190,22787,4602,10299,4289,2991,855,1119,930,3548,2544,3188,1050,1416,1419,818,1027,593,1676
hi,UH,16103,5598,23560,7445,12401,6817,6959,1274,1014,1339,5013,3090,4660,1631,2808,1115,963,1766,911,1116
hey,UH,25896,5915,12744,2994,6865,2931,3029,918,827,716,2441,2036,2289,917,1729,1141,931,1014,621,1298
wow,UH,20156,4324,9323,1742,5122,2225,1688,501,727,470,2054,1440,1665,951,1333,1069,607,771,499,949
hello,UH,8731,2769,10285,2194,3781,1931,2680,508,550,823,2120,1573,2118,994,847,890,800,741,751,749
ah,UH,7238,1581,7397,2769,2992,1200,977,575,1832,422,2598,2002,979,794,470,720,334,313,375,2105
ha,UH,8016,1957,6693,1688,3092,1310,1580,1024,662,639,2190,1055,1237,1098,866,850,420,1022,591,662
lah,UH,21,3,11,4,5,3,5,0,4,2,289,389,1,4,0,0,0,0,0,0
yaar,none,5,3,12,1,5,0,225,10,148,11,0,3,1,0,0,0,0,1,1,0
haba,none,18,4,21,4,5,0,1,1,1,8,1,1,8,1,4,374,28,10,28,2
eh,UH,3199,1077,4547,1094,1247,818,303,207,117,112,571,544,636,151,117,298,196,165,184,196
cheers,UH,2325,986,3177,788,2079,1261,650,170,212,116,451,370,314,189,238,309,123,132,141,146
um,UH,4680,905,2033,362,1256,615,260,53,153,88,288,377,187,123,230,89,81,122,68,177
uh,UH,5265,897,1327,261,526,326,307,58,77,79,312,191,284,94,90,107,59,95,45,202
bye,UH,1416,296,1197,340,389,305,256,84,76,66,209,219,113,92,64,149,114,86,56,388
